,al
296,"[0.07641247763559222, 0.9764]"
297,"[0.10139983357973396, 0.9695]"
298,"[0.0755126836925745, 0.9762]"
299,"[0.0735907497210428, 0.9768]"
300,"[0.07423128745537251, 0.9769]"
301,"[0.07376353795472533, 0.9765]"
302,"[0.07548842568323016, 0.9763]"
303,"[0.07400479395538569, 0.9767]"
304,"[0.07427846263144165, 0.9764]"
305,"[0.07596630550343543, 0.9759]"
306,"[0.07719970189202577, 0.9762]"
307,"[0.0733874427722767, 0.9769]"
308,"[0.07339042747523636, 0.977]"
309,"[0.09960830269884319, 0.97]"
310,"[0.07376922594718635, 0.9767]"
311,"[0.08290920149162412, 0.9742]"
312,"[0.09279698050096631, 0.9712]"
313,"[0.08099894318729639, 0.9746]"
314,"[0.07502937609385699, 0.9764]"
315,"[0.0754240191558376, 0.9765]"
316,"[0.07518393034916371, 0.9764]"
317,"[0.07430976242180913, 0.9766]"
318,"[0.07348549824114889, 0.9768]"
319,"[0.07343247795235365, 0.9772]"
320,"[0.07486902823019773, 0.9765]"
321,"[0.07332951962426305, 0.9772]"
322,"[0.07395009370539338, 0.977]"
323,"[0.07374937405008823, 0.9768]"
324,"[0.07564158032238484, 0.9758]"
325,"[0.07391177843678742, 0.9769]"
326,"[0.07414120259732009, 0.9772]"
327,"[0.07691925213262439, 0.9764]"
328,"[0.07410102293211966, 0.9764]"
329,"[0.07430947992373257, 0.9765]"
330,"[0.07360126548819244, 0.9767]"
331,"[0.1016344780959189, 0.9694]"
332,"[0.07784942397382111, 0.9756]"
333,"[0.07428467509783804, 0.977]"
334,"[0.0760961178123951, 0.9762]"
335,"[0.10410428175479174, 0.9686]"
336,"[0.07408699417952448, 0.9765]"
337,"[0.07455250637717545, 0.9761]"
338,"[0.09867884325310589, 0.9705]"
339,"[0.07415320214480162, 0.9766]"
340,"[0.07415958889145403, 0.9765]"
341,"[0.07380944216307253, 0.977]"
342,"[0.10366145776249468, 0.9692]"
343,"[0.07412955052983015, 0.9764]"
344,"[0.07349887056685984, 0.9771]"
345,"[0.09530436607059091, 0.9711]"
346,"[0.07327112346980721, 0.977]"
347,"[0.10176343251354993, 0.9696]"
348,"[0.07802124165818095, 0.9762]"
349,"[0.07315502144359053, 0.9771]"
350,"[0.0732613215604797, 0.9772]"
351,"[0.07333368068262934, 0.9769]"
352,"[0.07338586539272218, 0.9774]"
353,"[0.07455154978968204, 0.9769]"
354,"[0.07632390703782439, 0.9762]"
355,"[0.0744099475055933, 0.9764]"
356,"[0.07432546513900161, 0.9761]"
357,"[0.09943457814194262, 0.97]"
358,"[0.07351144954841583, 0.9769]"
359,"[0.07415463684592397, 0.9766]"
360,"[0.0745861940342933, 0.9759]"
361,"[0.07410429436340928, 0.9769]"
362,"[0.10038800414204598, 0.9698]"
363,"[0.0737703472007066, 0.9767]"
364,"[0.07333326329793781, 0.977]"
365,"[0.07433639762569219, 0.9766]"
366,"[0.07350336310565472, 0.9769]"
367,"[0.07384858454894275, 0.9764]"
368,"[0.07736495001818985, 0.9759]"
369,"[0.07299722824227065, 0.9776]"
370,"[0.07451906505562365, 0.9769]"
371,"[0.0737072058159858, 0.9768]"
372,"[0.08397548671104015, 0.9739]"
373,"[0.07382511446420104, 0.9766]"
374,"[0.0733479414921254, 0.9773]"
375,"[0.07333631645962596, 0.977]"
376,"[0.07372043607588857, 0.9768]"
377,"[0.07370532574858517, 0.977]"
378,"[0.08223693581596017, 0.9742]"
379,"[0.07382366859745235, 0.9764]"
380,"[0.07852201107852161, 0.9756]"
381,"[0.074016238909401, 0.9771]"
382,"[0.07582039945684374, 0.9761]"
383,"[0.07394678848478943, 0.9762]"
384,"[0.07451078356411309, 0.9766]"
385,"[0.07427563696354628, 0.9766]"
386,"[0.07444245116915554, 0.9761]"
387,"[0.10546273882053793, 0.968]"
388,"[0.07335264591407031, 0.977]"
389,"[0.07447059963960201, 0.977]"
390,"[0.07917420247793197, 0.9757]"
391,"[0.07397620074208826, 0.9769]"
392,"[0.07439803257770837, 0.9765]"
393,"[0.07345354418456554, 0.977]"
394,"[0.07416612568181008, 0.9763]"
395,"[0.07422147395797074, 0.9767]"
396,"[0.07753279313724488, 0.975]"
397,"[0.07503607050441205, 0.9767]"
398,"[0.07410680014695972, 0.9766]"
399,"[0.074133589929156, 0.9767]"
400,"[0.07383507649712265, 0.9768]"
401,"[0.08300337222106755, 0.9742]"
402,"[0.07369636980779469, 0.9765]"
403,"[0.0756502520121634, 0.9764]"
404,"[0.0743753270253539, 0.9764]"
